# Frozen Java GATK 4.4.0.0 SeqGraph k-best top-128 (k=25, K=128)
# Window: 20:29455895-29456393 (active 20:29455995-29456293)
# Source dump: parity/giab/runs/local-pairhmm-diff/6r133_java.txt
# Pin: GATK 4.4.0.0 SHA 2dbc025821bc5f686c423ff332a41e6cef892a77
# Unique-set identity with Rust unbounded_diagnostic is the 6R.140/6R.141 oracle.
# 6R.141: Rust completed-path order under unbounded_diagnostic is identical to this rank order.
rank	hash	score	isRef	len
0	659741f99b7f78a5	-2.65161706	false	499
1	41122a0943f2b2f9	-2.76968390	false	499
2	37bb4559b9e37a6b	-2.77655579	false	499
3	f05b5038d157496f	-2.83217722	false	500
4	2dbab06be87a8f0b	-2.88570026	false	499
5	0c72f07d24a127e3	-2.95024407	false	500
6	004002c704000490	-2.95711596	false	500
7	4f8f52501a03d6f1	-2.95711596	false	500
8	89c890c41b7e091f	-3.00376711	false	499
9	ae7e4b80b31a5ec5	-3.01063900	false	499
10	a0f8de8773bfe852	-3.04115770	false	498
11	207bc67af3d824fa	-3.05320244	false	499
12	5ca3d1cd3e399fb9	-3.06626043	false	500
13	7f210e6a177f0264	-3.07518281	false	500
14	abbaeec91aadb012	-3.08205470	false	500
15	4fdb0744f057c47d	-3.09559466	false	499
16	089f6b672238412b	-3.12607882	false	499
17	1929d9c98ac0f6c4	-3.13390415	false	499
18	7d857a0687666446	-3.15922454	false	498
19	2c580e1ccb3a33d0	-3.16609643	false	498
20	26ad86610a5909ee	-3.17126929	false	499
21	c9ff8b31d46c89f8	-3.17814118	false	499
22	cae0cb46b1c5885d	-3.18432727	false	500
23	bf776981bea4f756	-3.19119917	false	500
24	d063509c5382dd97	-3.19119917	false	500
25	da44302dc48e3ac6	-3.20596794	false	499
26	0be687f2e12ed9b1	-3.21366150	false	499
27	211497eda5a286fe	-3.21973052	false	499
28	1d91e21f50b6dd83	-3.22053339	false	499
29	2860183222493618	-3.22921500	false	499
30	1ee7f659fc97be40	-3.23376261	false	500
31	f297196868252abf	-3.24414566	false	499
32	d27958d1a5f4d93e	-3.24680516	false	498
33	8bd3b6dce90b9047	-3.24680516	false	498
34	661fefb7c9a1fc65	-3.25101755	false	499
35	a46f9f18622cedc8	-3.25197100	false	499
36	ea882b244918cf3e	-3.25884289	false	499
37	0550ffd37f5433c4	-3.26263189	false	500
38	ec44e3a03086ca61	-3.26800560	false	499
39	0e5107a81bea4394	-3.27524090	false	498
40	4b085898acecfb97	-3.27615482	false	500
41	f070cee4a4e4e2dc	-3.28728565	false	499
42	14f5c3e554cdb1b5	-3.30663898	false	500
43	0ce9b002254056ca	-3.30926601	false	500
44	66aff296512c21d6	-3.31446432	false	500
45	0f5afbe41596827c	-3.31613790	false	500
46	fa3cc45652d53fec	-3.32169962	false	499
47	4b317b7820c4f87a	-3.32403479	false	499
48	0064761dd1f4e613	-3.32967786	false	499
49	a5eb78d195312e6c	-3.33090668	false	499
50	8800b005df6c67fa	-3.33305710	false	499
51	12195fc958af0092	-3.33779736	false	499
52	2987d742a0800e84	-3.34466926	false	499
53	f3a2b237054e49b1	-3.34477702	false	499
54	3b82f8a33b8b4842	-3.34498318	false	499
55	16209d1c8b66964c	-3.34728185	false	499
56	28b8f48b3a0c4954	-3.35182945	false	500
57	a8505116980d761a	-3.35415374	false	499
58	3f1e9e981f17445f	-3.35870135	false	500
59	11f7980113beb502	-3.35870135	false	500
60	3edefab248c34151	-3.36016202	false	499
61	f506eff4ee5fa5f8	-3.36523264	false	499
62	62a6147459fe327a	-3.36798736	false	499
63	6820bf3fe700ae78	-3.37969157	false	499
64	9096c52256c02ac8	-3.38069874	false	500
65	9dd92dfc8b99cb65	-3.38607245	false	499
